date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:10	6638/6638	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:08%20GMT	http://webcoban.vn/html/demo?file=2265	F:/webcoban/webcoban.vn/html/demodd03.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:10	6279/6279	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:08%20GMT	http://webcoban.vn/html/demo?file=2267	F:/webcoban/webcoban.vn/html/demod78c.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:10	6307/6307	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:08%20GMT	http://webcoban.vn/html/demo?file=2268	F:/webcoban/webcoban.vn/html/demoe00f.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:10	6303/6303	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:09%20GMT	http://webcoban.vn/html/demo?file=2269	F:/webcoban/webcoban.vn/html/demo9aca.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:11	6382/6382	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:09%20GMT	http://webcoban.vn/html/demo?file=2270	F:/webcoban/webcoban.vn/html/demof29c.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:11	6013/6013	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:09%20GMT	http://webcoban.vn/html/demo?file=2271	F:/webcoban/webcoban.vn/html/demo7185.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:11	6012/6012	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:09%20GMT	http://webcoban.vn/html/demo?file=2272	F:/webcoban/webcoban.vn/html/demoae22.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:12	6040/6040	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:10%20GMT	http://webcoban.vn/html/demo?file=2273	F:/webcoban/webcoban.vn/html/demo42f6.html	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
10:45:12	5872/5872	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2003:45:10%20GMT	http://webcoban.vn/html/demo?file=2106	F:/webcoban/webcoban.vn/html/demobd33.html	(from http://webcoban.vn/html/the-mark-trong-html.html)
10:45:12	4311/4311	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2007:55:56%20GMT	http://webcoban.vn/image/big-square.png	F:/webcoban/webcoban.vn/image/big-square.png	(from http://webcoban.vn/html/the-map-va-area-trong-html-tao-mot-ban-do-hinh-anh.html)
